Metric,Avatar M (SD),Text M (SD),Voice M (SD),Control M (SD),p-value,F-statistic
anxious,-0.26 (2.11),-0.65 (1.81),-0.48 (1.50),-0.52 (1.28),0.896,0.20
overwhelmed,0.22 (2.55),-0.61 (1.37),-0.35 (1.55),0.26 (1.36),0.288,1.27
relaxed,-0.39 (2.02),0.22 (0.88),0.22 (1.06),-0.13 (0.80),0.327,1.17
energetic,0.35 (1.43),0.39 (1.41),0.52 (1.06),0.48 (1.17),0.968,0.08
motivated,0.43 (1.35),0.52 (1.10),0.57 (1.06),0.17 (0.96),0.660,0.53
AHS,0.37 (0.35),0.33 (0.53),0.37 (0.64),0.15 (0.52),0.452,0.89
FSQ_Similarity,0.38 (0.78),0.24 (0.98),0.49 (1.50),0.10 (0.67),0.618,0.60
FSQ_Vividness,1.36 (1.15),1.12 (1.02),0.96 (0.98),0.25 (0.61),0.002**,5.46
FSQ_Positivity,0.67 (1.42),0.43 (1.04),0.72 (1.00),-0.13 (0.80),0.043*,2.83
Future_self_continuity,0.80 (0.97),0.60 (0.77),0.72 (0.74),0.07 (0.56),0.010*,3.99
